站号,站名,省名,纬度,经度,海拔高度,日照时数,日照距平,同期对比,历史值,去年值
54134,开鲁,内蒙古,43.60,121.2833,241,7.80,-0.40,-0.70,8.20,8.50
54135,通辽,内蒙古,43.60,122.2667,178.70,6.90,-0.90,-1.50,7.80,8.40
54142,双辽,吉林,43.50,123.5333,114.90,7.40,-0.10,-1.60,7.50,9
54154,梨树,吉林,43.35,124.30,160.20,4.80,-1.70,-2.60,6.50,7.40
54155,孤家子,吉林,43.6667,124.2333,144.20,5,32766,-4.20,32766,9.20
54156,公主岭,吉林,43.5167,124.80,200.40,3.50,-3.20,-5.10,6.70,8.60
54157,四平,吉林,43.1667,124.3333,165.70,2.30,-4.90,-5.80,7.20,8.10
54161,长春,吉林,43.90,125.2167,236.80,2.60,-3.90,-6.10,6.50,8.70
54164,伊通,吉林,43.35,125.2833,248.10,0,-6.40,-8.60,6.40,8.60
54165,双阳,吉林,43.55,125.6333,219.50,3.10,-2.90,-4.90,6,8
54169,烟筒山,吉林,43.30,126.0167,271.60,0,-6.10,-8,6.10,8
54171,永吉,吉林,43.70,126.5167,229.50,0,-5.60,-7.70,5.60,7.70
54172,吉林城郊,吉林,43.8667,126.5333,290.30,0.80,-4.30,-4.80,5.10,5.60
54181,蛟河,吉林,43.70,127.3333,295,0,-5.80,-8,5.80,8
54186,敦化,吉林,43.3667,128.20,524.90,0,-5.70,-7.50,5.70,7.50
54187,安图,吉林,43.1167,128.9167,366.60,0,-5.40,-8.10,5.40,8.10
54192,罗子沟,吉林,43.70,130.2667,384.60,0,32766,-8.30,32766,8.30
54195,汪清,吉林,43.30,129.7833,244.80,0,-6.30,-8.80,6.30,8.80
54204,正镶白旗,内蒙古,42.30,115,1346.30,7.50,-0.30,-1.20,7.80,8.70
54205,正蓝旗,内蒙古,42.2333,116,1315.50,7.60,-0.20,-0.40,7.80,8
54208,多伦县,内蒙古,42.1833,116.4667,1245.40,7.90,0.30,0,7.60,7.90
54213,翁牛特旗,内蒙古,42.9333,119.0167,634.30,7.30,-0.30,-1.70,7.60,9
54214,岗子,内蒙古,42.5833,118.4167,960,7.70,0.10,-0.50,7.60,8.20
54218,赤峰,内蒙古,42.30,118.8333,668.60,2.50,-4.90,-6.60,7.40,9.10
54223,奈曼,内蒙古,42.85,120.65,362.90,5.70,-2.30,-2.70,8,8.40
54225,敖汉旗,内蒙古,42.2833,119.9167,588.20,6.30,-1.50,-2.10,7.80,8.40
54226,宝国吐,内蒙古,42.3333,120.70,400.50,8.50,1.10,-0.60,7.40,9.10
54231,科左后旗,内蒙古,42.9667,122.35,248.10,3.70,-3.80,-4.70,7.50,8.40
54234,库伦,内蒙古,42.7333,121.75,297.80,8,-0.20,-0.50,8.20,8.50
54236,彰武,辽宁,42.3833,122.55,79.40,5.10,-1.80,-2.50,6.90,7.60
54237,阜新,辽宁,42.0667,121.75,167.80,8.30,1.30,1.20,7,7.10
54243,昌图,辽宁,42.7833,124.1167,165.10,3,-4.10,-5.70,7.10,8.70
54244,康平,辽宁,42.75,123.3333,118.60,3.60,-3.70,-4.40,7.30,8
54245,法库,辽宁,42.50,123.40,97.80,2.90,-3.90,-5.50,6.80,8.40
54248,新城子,辽宁,42.0333,123.5333,61.60,0,32766,-7.60,32766,7.60
54249,铁岭,辽宁,42.30,123.8667,85.40,3,-3.50,-5.50,6.50,8.50
54252,西丰,辽宁,42.7333,124.75,196.10,0,-6.60,-8.50,6.60,8.50
54254,开原,辽宁,42.5333,124.05,98.20,1.50,-4.80,-6.60,6.30,8.10
54259,清原,辽宁,42.10,124.9167,237.20,0,-5.60,-8.10,5.60,8.10
54260,辽源,吉林,42.9167,125.0833,252.90,0,-6.10,-8,6.10,8
54261,东丰,吉林,42.6667,125.4667,345.30,0,-6.40,-8.30,6.40,8.30
54263,磐石,吉林,42.9667,126.05,336.70,0,-6.10,-8,6.10,8
54266,梅河口,吉林,42.5333,125.6333,340.50,0,-6.10,-8.60,6.10,8.60
54267,柳河,吉林,42.25,125.7333,362.30,0,-5.60,-8.20,5.60,8.20
54273,桦甸,吉林,42.9833,126.75,263.30,0,-4.90,-7.70,4.90,7.70
54274,辉南,吉林,42.6833,125.9833,306.70,0,-5.70,-8.20,5.70,8.20
54276,靖宇,吉林,42.40,126.80,570,0,-5.60,-8.20,5.60,8.20
54279,江源,吉林,42.05,126.5833,544.40,0,32766,-2.50,32766,2.50
54284,东岗,吉林,42.15,127.50,774.20,1,-4.40,-7.50,5.40,8.50
54285,二道,吉林,42.4167,128.1167,721.40,0,-6,-8.30,6,8.30
54286,和龙,吉林,42.5333,129,475.60,2.20,-3.60,-5.60,5.80,7.80
54290,龙井,吉林,42.7667,129.40,241.10,0,-5.80,32766,5.80,32766
54291,珲春,吉林,42.90,130.2833,36.50,0,-6.30,-7.70,6.30,7.70
54292,延吉,吉林,42.8667,129.50,257.30,0.40,-5.50,-8.10,5.90,8.50
54293,图们,吉林,42.95,129.8333,142.80,0,-6.40,-7.60,6.40,7.60
54301,沽源,河北,41.6667,115.6667,1412,7.80,0.10,0.80,7.70,7
54304,崇礼,河北,40.95,115.2667,1239.80,5.40,-1.80,5.40,7.20,0
54305,太仆寺旗,内蒙古,41.8833,115.2667,1468.90,6.10,-1.20,-1.10,7.30,7.20
54308,丰宁,河北,41.20,116.6333,735.10,4.80,-2.40,-1.30,7.20,6.10
54311,围场,河北,41.9667,117.7667,892.70,5.50,-1.60,-0.50,7.10,6
54313,喀喇沁旗,内蒙古,41.9333,118.70,733.70,0,-7.10,-6,7.10,6
54316,八里罕,内蒙古,41.5167,118.75,679.30,8.30,1.20,1.40,7.10,6.90
54318,隆化,河北,41.3167,117.7333,561.60,4.20,-3,1.70,7.20,2.50
54319,平泉,河北,41,118.6667,502.30,7.60,0.30,1.40,7.30,6.20
54320,宁城县,内蒙古,41.60,119.30,544.20,8,1,1.30,7,6.70
54321,建平镇,辽宁,41.8667,119.6333,661.80,6,-1.40,-1.50,7.40,7.50
54323,北票,辽宁,41.8167,120.7833,253.80,8.30,0.90,0.90,7.40,7.40
54324,朝阳,辽宁,41.55,120.4333,174.30,7.60,0.90,0.40,6.70,7.20
54325,羊山,辽宁,41.1833,120.35,183.80,5.10,-1.90,1.10,7,4
54326,建平县,辽宁,41.3833,119.70,422,6.70,-0.50,-1.60,7.20,8.30
54327,凌源,辽宁,41.2333,119.35,417.10,7.70,0.60,-0.30,7.10,8
54328,喀左,辽宁,41.0833,119.7167,296.80,7,0.30,0.50,6.70,6.50
54330,凌海,辽宁,41.1333,121.3333,45.20,6.80,32766,-1.50,32766,8.30
54331,北镇,辽宁,41.5833,121.7667,77.10,7.20,0.10,-0.80,7.10,8
54332,辽中,辽宁,41.5167,122.7167,12.20,1.80,-5.10,-6.60,6.90,8.40
54333,新民,辽宁,41.9667,122.85,30.90,2.70,-4,-5.30,6.70,8
54334,义县,辽宁,41.5167,121.25,74.20,8.40,1.30,-0.10,7.10,8.50
54335,黑山,辽宁,41.6833,122.0833,37.50,7.80,1,-0.90,6.80,8.70
54336,台安,辽宁,41.4167,122.4167,8.30,1.50,-5,-6.90,6.50,8.40
54337,锦州,辽宁,41.1333,121.1167,65.90,6.30,-0.40,-1.40,6.70,7.70
54338,盘山,辽宁,41.2833,121.95,3.20,5.40,-1.80,-2.90,7.20,8.30
