站号,站名,省名,纬度,经度,海拔高度,降水量,降水距平,同期对比,历史值,同期值
58377,太仓,江苏,31.4667,121.10,2.40,0,-1,-11,1,11
58401,罗田,湖北,30.75,115.40,123.10,0,0,0,0,0
58402,英山,湖北,30.7333,115.6667,123.80,0,0,0,0,0
58404,浠水,湖北,30.4667,115.2167,61.80,0,0,-1,0,1
58407,黄石,湖北,30.2333,115.0333,32.20,0,0,-1,0,1
58408,蕲春,湖北,30.2333,115.4333,35.10,0,0,-2,0,2
58409,黄梅,湖北,30.10,115.9333,32,1,1,-5,0,6
58414,太湖,安徽,30.4333,116.3167,105.10,0,0,-7,0,7
58415,潜山,安徽,30.6667,116.55,64.40,0,0,-5,0,5
58416,怀宁,安徽,30.75,116.8167,35.50,0,0,-8,0,8
58417,宿松,安徽,30.1667,116.1333,54.70,0,0,-7,0,7
58418,望江,安徽,30.1333,116.6667,60,0,0,-9,0,9
58419,东至,安徽,30.10,117.0167,17.60,0,-1,-11,1,11
58420,枞阳,安徽,30.7167,117.2333,58.30,0,0,-10,0,10
58421,青阳,安徽,30.6333,117.8667,31,0,0,-15,0,15
58423,九华山,安徽,30.4833,117.7833,647.30,0,32766,-12,32766,12
58424,安庆,安徽,30.6167,116.9667,62,1,1,-7,0,8
58426,黄山区,安徽,30.30,118.1333,193.40,0,-1,-11,1,11
58427,池州,安徽,30.65,117.50,15,0,0,-10,0,10
58428,石台,安徽,30.2167,117.50,118.50,0,-1,-7,1,7
58429,铜陵,安徽,30.9833,117.85,11,0,0,-12,0,12
58431,南陵,安徽,30.90,118.3167,39,1,0,-12,1,13
58432,泾县,安徽,30.6833,118.40,57.30,0,-1,-18,1,18
58433,宣城,安徽,30.9333,118.75,31.20,1,0,-15,1,16
58435,旌德,安徽,30.30,118.5333,220.20,0,-1,-10,1,10
58436,宁国,安徽,30.6167,118.9833,87.30,0,-1,-12,1,12
58437,黄山,安徽,30.1333,118.15,1840.40,0,-1,-22,1,22
58438,绩溪,安徽,30.0833,118.5833,191.10,0,-1,-6,1,6
58441,广德,安徽,30.8667,119.4167,43.10,0,-1,-12,1,12
58442,郎溪,安徽,31.1667,119.1833,16.50,0,-1,-13,1,13
58443,长兴,浙江,31.0167,119.90,25,0,-1,-11,1,11
58446,安吉,浙江,30.6333,119.70,72.20,0,-1,-8,1,8
58448,临安,浙江,30.2167,119.70,117.60,0,-1,-6,1,6
58449,富阳,浙江,30.05,119.95,46.50,0,-1,-6,1,6
58450,湖州,浙江,30.8667,120.05,7.40,0,-1,-8,1,8
58451,嘉善,浙江,30.8333,120.9333,2.60,0,-1,-7,1,7
58452,嘉兴,浙江,30.7333,120.7667,4.80,0,-1,-6,1,6
58453,绍兴,浙江,30.0667,120.50,7.90,0,-2,-9,2,9
58454,德清,浙江,30.5333,119.9667,7.80,0,-1,-7,1,7
