站号,站名,省名,纬度,经度,海拔高度,平均气温,气温距平,同期对比,常年值,去年值
53348,大佘太,内蒙古,41.0167,109.1333,1078.70,-14,-3,-2,-11,-12
53352,达茂旗气象局,内蒙古,41.70,110.4333,1376.60,-19,-5,1,-14,-20
53357,固阳县气象局,内蒙古,41.0333,110.05,1360.40,-18,-5,-2,-13,-16
53362,四子王,内蒙古,41.5333,111.6833,1490.10,-20,-6,2,-14,-22
53367,希拉穆仁,内蒙古,41.3167,111.2333,1602.30,-21,-6,1,-15,-22
53368,武川县,内蒙古,41.0833,111.4667,1637.30,-20,-6,-3,-14,-17
53378,察右中旗,内蒙古,41.2833,112.6167,1737.30,-21,-6,-2,-15,-19
53384,察右后旗,内蒙古,41.45,113.1833,1423.50,-18,-5,0,-13,-18
53385,商都,内蒙古,41.5667,113.55,1385.20,-18,-4,1,-14,-19
53391,化德,内蒙古,41.90,114,1482.70,-20,-5,0,-15,-20
53392,康保,河北,41.85,114.60,1422.40,-20,-3,2,-17,-22
53397,尚义,河北,41.10,113.9833,1376.50,-17,-3,1,-14,-18
53399,张北,河北,41.15,114.70,1393.30,-18,-4,2,-14,-20
53419,磴口,内蒙古,40.3333,107,1055.30,-13,-5,-2,-8,-11
53420,杭锦后旗,内蒙古,40.85,107.1167,1024,-14,-5,-3,-9,-11
53433,乌拉特前旗,内蒙古,40.7333,108.65,1020.40,-14,-5,-4,-9,-10
53446,包头市,内蒙古,40.5333,109.8833,1004.70,-14,-5,-3,-9,-11
53455,土右旗气象局,内蒙古,40.55,110.5333,998.60,-11,-2,-2,-9,-9
53457,达拉特旗,内蒙古,40.40,110.0333,1011,-12,-2,-2,-10,-10
53463,呼和浩特,内蒙古,40.85,111.5667,1153.50,-15,-5,-4,-10,-11
53464,土默特左旗,内蒙古,40.7167,111.1667,1042.70,-12,-2,-2,-10,-10
53466,呼和浩特郊区站,内蒙古,40.75,111.70,1045.40,-13,32766,-3,32766,-10
53467,托克托县,内蒙古,40.2667,111.1833,1016,-14,-4,-2,-10,-12
53469,和林格尔县,内蒙古,40.40,111.8167,1166.70,-14,-2,-3,-12,-11
53472,卓资,内蒙古,40.8667,112.5667,1451.70,-16,-2,1,-14,-17
53475,凉城,内蒙古,40.5167,112.4667,1268.90,-13,-1,0,-12,-13
53478,右玉,山西,40,112.45,1345.80,-14,0,-2,-14,-12
53480,集宁,内蒙古,41.0333,113.0667,1419.30,-18,-6,-2,-12,-16
53481,察右前旗,内蒙古,40.80,113.2167,1316.80,-15,-3,1,-12,-16
53483,兴和,内蒙古,40.8667,113.8333,1268.70,-16,-4,0,-12,-16
53484,丰镇,内蒙古,40.45,113.15,1191.50,-13,-1,0,-12,-13
53486,阳高,山西,40.3667,113.7667,1050.30,-11,-2,0,-9,-11
53487,大同,山西,40.0833,113.4167,1052.60,-12,-2,-1,-10,-11
53488,大同县,山西,40.0333,113.5833,1034.30,-11,0,-1,-11,-10
53490,天镇,山西,40.4333,114.05,1014.70,-12,-2,-1,-10,-11
53491,怀安,河北,40.6667,114.3833,837.70,-11,-2,0,-9,-11
